,UID,Choice,Course Code,Final Writeup,predict_recommend
15,C35A12W2,2,C35,"I want to contribute and join the Smart Nation.Singapore is targeting at Smart Nation which makes everything related to the technology for example cashless society. Hence, I am interested in this course as I want to learn how to operate or develop a business through technology.Besides , I am interested in markets on the internet and if have a chance,i would want to develop a business on the internet. NIL",0
16,C35A12W3,3,C36,"This course help me to build my foundations in Diplomas that i am interested in and after these one year programme, i can choose to take any one of the diplomas that i am interested in which is cybersecurity and digital forensics and business and financial technology. NIL",1
17,C35A13W2,2,C35,"it is great platform for me to learn business and IT. Also, I believe our current society needs help from the businesses and the technological world simultaneously. Thus I consider learning this course as it is beneficial for me to contribute back to the society. Even though I do not have much knowledge in business, yet having the passion to learn is important. With the passion and faith, I believe I will learn well and at the same time, experiencing new things. I am a determined person, if needed, I will persevere and adapt. Thank you for giving me this opportunity. -I helped the neighbourhood though the Mozzie Wipeout, I volunteered to help giving out brochures and spread awareness to make sure the residents were safe. I volunteered this activity for 2 years with the school. -Also, I volunteered to help the elderly at the old folks home, I took up the courage and being the performer at that time. I went singing for the elderly. -Next, I also volunteered to help the kindergarten children from PCF. My classmate and I planned games and activities to enlighten the children mood. -I was awarded for the STEM award in the class. -I danced with the class to perform KPOP dance. -During Olevel result day this January, I participated to help taking photographs. - Earlier this year, I was awarded Gold for my Nlevel results.",1
18,C35A13W3,3,C43,"it is great platform for me to learn business and IT. Also, I believe our current society needs help from the businesses and the technological world simultaneously. Thus I consider learning this course as it is beneficial for me to contribute back to the society. Even though I do not have much knowledge in business, yet having the passion to learn is important. With the passion and faith, I believe I will learn well and at the same time, experiencing new things. I am a determined person, if needed, I will persevere and adapt. Thank you for giving me this opportunity. -I helped the neighbourhood though the Mozzie Wipeout, I volunteered to help giving out brochures and spread awareness to make sure the residents were safe. I volunteered this activity for 2 years with the school. -Also, I volunteered to help the elderly at the old folks home, I took up the courage and being the performer at that time. I went singing for the elderly. -Next, I also volunteered to help the kindergarten children from PCF. My classmate and I planned games and activities to enlighten the children mood. -I was awarded for the STEM award in the class. -I danced with the class to perform KPOP dance. -During Olevel result day this January, I participated to help taking photographs. - Earlier this year, I was awarded Gold for my Nlevel results.",1
21,C35A15W1,1,C54,"of my aspirations to become crime related investigator. When I see the latest cyber threat happen to my country, I am concerned about the country interest and people interest. I have developed my interest when I watch CSI with my mum. It really attracted me into these detective process. To add on, I also read mystery novel written by Agatha Christie and it indulges me whenever I read it. I am interested in Cryptography and applications and cyber forensic technologies in the modules as I love to create and solve the problems. Nyp alumnus achievement also makes me motivated to join this course. During my five years in school, I have been a part of the softball team since sec one. I was a upper secondary cca committee member and I have joined competition in C and B division. When I was in sec 5, I joined the cross country B division competition, it was tough as this is the first time I join the competition. At least I have completed the race. During sec 5 also, I have joined the AEM in nyp. It is called Making Games- Logic, Art and User Experience. I get to experience poly life and have managed to create a game during that time. I get a pass overall. I also actively attend the school program. For example, the fn are required to attend a cooking course and I have participate for three consecutive year. it is a valuable lessons as I gain more knowledge in the making of foods.",0
22,C35A15W2,2,C35,"of my ambition to start my own business. As technology advances, people are using it more than ever. So having a strong knowledge of business and technology is essential for a business to be successful. When I sell things on carousell, I feel a sense of accomplishment and I have read Jack ma story. Although he never have any technology knowledge, but the curiosity got into him and he eventually set up Alibaba. I am inspire by him and the course modules have business plus some technology knowledge to help me become a entrepreneur one day. During my five years in school, I have been a part of the softball team since sec one. I was a upper secondary cca committee member and I have joined competition in C and B division. When I was in sec 5, I joined the cross country B division competition, it was tough as this is the first time I join the competition. At least I have completed the race. During sec 5 also, I have joined the AEM in nyp. It is called Making Games- Logic, Art and User Experience. I get to experience poly life and have managed to create a game during that time. I get a pass overall. I also actively attend the school program. For example, the fn are required to attend a cooking course and I have participate for three consecutive year. it is a valuable lessons as I gain more knowledge in the making of foods.",0
23,C35A16W2,2,C35,"of the combination of BI and FI. There are more business modules as compared to the previous FI course. I grew a strong interest in accounting ever since I took POA. I'm always very interested in doing POA and I will always strive for good grades. Apart from that, I am also very keen to learn how technology helps in businesses, such as the computing techniques used to analyze data and the ways to prevent risks in businesses. I am keen to learn more about IT and I want to further my IT skills. Moreover, I have also helped my dad, who is a director of a company, to manage his account data-entry. I have participated in a fun trail 2016 organised by NP and Citi-NIE Financial Literacy Hub and the Accounting and Finance challenge 2017 at TP. I was an innovative and enterprise monitor for 2 years and in 2016, we presented ideas of new post exam activities to a panel of judges including our VP and subsequently our whole school. I was also an active member in my CCA, Chinese Orchestra, attaining an Excellent garde, and also gotten a grade 3 for my Erhu NAFA exam. Moreover, I have also participated in both SYF 2015 and 2017, attaining distinction for both years. Furthermore, I have received the Most Improved Award in school, Edusave Good Progress and Edusave Certificate of Academic Achievement in 2015. I have also received the Edusave Scholarship Award in 2016 and 2017. In addition, I've attained an A1-A2 for my average POA results. I've also attained a B3 for my O level Maths paper last year.",0
24,C35A17W2,2,C35,"Being a FinTech Professional has always been my aspiration. I have a passion in IT and a perennial interest for the financial sector. I envision the day where I won't only benefit from digital conveniences, but could also learn the How-To and apply my knowledge thru start-up venture or work for established financial institution. Preparing for poly, I've completed TP's Accounting and Finance attachment program Nov17, SP's AEM in Digital Game Jun17, a 5day android coding camp by Life Is Tech Dec16 and attained SingTel Cyber L1 Cert, exposing me to the various faces of IT, Biz and Poly education. Academically, I've attained Edusave scholarships and merit awards consistently throughout Sec 1-3. Holistically, I demonstrate leadership qualities and have a passion to serve our community and school. I am the School's Head Prefect, Sports Leader and School Floorball Team (my CCA). I have participated in many outreach initiatives and best remembered the Senior IT Workshop from Northeast Eldersurf where we teach our pioneer generation web browsing basics. A memorable event led by me was the Total Defence Day where we mobilized the entire school to showcase awareness and engaged Tampines residents in activities, thru teamwork. I've learnt that a leader isn't someone who is only able to uphold discipline, but someone who can foster collaboration, connect with others and create a greater sense of unity within the team. Understanding these valuable distinctions had earned me the Good Leadership and Service Eagles Award 2017. (I've completed the self-starter entrepreneur sprint #sayyestonp)",1
25,C35A18W2,2,C35,"I have a love for doing business. However,in this world right now. I feel that there is a need for merchants and I to adapt to surroundings by looking for opportunities online. I am very interested to learn how to set up an e-commerce and do business with the IT edge. I am also curious how webstores allow different forms of payment. Out of all forms of online payment, I prefer PayPal as it makes payment so much easier and I am able to check my balance instantly.Also,I do trading on my free time on Carousell by finding good deals to be resold at a higher yet very reasonable price. I participated in the Delta League in 2017, achieving a Quarter-Finals finish. I participated in the East Zone tournament for my football CCA for the years 2015 and 2018. Served as a class vice chairman for the whole of 2017.",0
26,C35A19W2,2,C35,"I have always been interested in how I can relate technology into the business aspect. I was involved in NYP 2-day attachment at the school of IT and it made me gain even more interest. I have learnt how to do programming and basic developing of software. Through that experience, I have learnt the basic of how to develop software and programming. I was also given an opportunity to visit Barclays Bank which made me to grow more interest in business. I hope that you can grant me that interview. Thank you. Social Enterprise Carnival organized by nEbo 2015. Sec 4E NE Learning Journey to Barclays Bank 2017. NYP Attachment 2016. Yio Chu Kang U17 Basketball Championship represented School and obtained 1st Team Placing 2016. Kent Ridge Secondary School U14 Basketball Tournament, represented School 2014. U14 Community Basketball League 2015, represented CCA. U14 Community Basketball League 2014, represented CCA. Sec 2 NYAA Camp 2015. 2015 NYAA Bronze Medal. 2016 NYAA Silver Medal.",0
27,C35A20W2,2,C35,"In recent years years i have realised that the society is slowly progressing into the era of computer and technology plays a huge role in everything and especially in financial terms whereby everything is digitalised etc cryptocurrency,bitcoins.There is nothing constant in this computer age that whenever new technology appears the market trends changes. As i am a person who likes to overcome challenges. thus i hope that this course can nurture me.I have realised also that no ambition is too big and i am ready to set the new trend and can find my own place in the financial world. i have participated in national day parade as part of the scouts marching contingent for 2 consecutive years for 2016 and 2017. i have also led my group to old folks home and volunteer at willing heart respectively for values in action project. during my tenure as the patrol leader of my patrol i have managed to turn a nearly defunct patrol to be one of the best in my cca and i have also received a distinction in achievement award during speech day this year. i have also been in the class committee for 2 consecutive years. i am a person who strives for the best i can be and i can think on my feet and make crucial decisions where there is a need to be.",0
28,C35A21W1,1,C43,"I have been thinking of having an online business in the future. I go to online shopping website regularly. As I go online shopping, I always wonder how the business can work smoothly and how they manage to grow and collect data. By joining this course, I could learn web development, marketing analytics, and consumer behavior. There are also some other modules that attract me such as AI Technologies, Data Structures and Algorithms, and Principles of UX Design. I am a well-organised and analytics person which I think they are important skills to have. Thus, I hope to join this course. Youth Innovation Challenge: In 2016, I represented my school to participate in the Shell STEM Youth Innovation Challenge Student Leader: In 2016, I joined the Student Leaders family. In 2017, I participated in some activities such as helping out in Sec1 Orientation and Sec2 Level Camp. I joined the EXCO Board. I am the Head of Logistics in the EXCO Board. I organised some events such as Student Leaders Investiture, Student Leader Family Day, Teacher's Day and Student Leaders Camp. I represented my school to participate in the Y.LEAD Seminar organised by River Valley High School. ICAS Mathematics: I participated in ICAS Mathematics and had gotten Merit. NUS Geography Challenge: In 2018, I participated in NUS Geography Challenge. Softball: I represented my school to participate in the Inter School Softball Tournament from 2016-2018 Fun Run (school): I got 3rd position for 2016 and 2017",1
29,C35A21W2,2,C35,"My mother goes out without bringing much cash but with some cards, and use the cards to pay for online bills or online shopping. I am always curious how does a card work behind the scene. By joining this course, I can gain insights into how technology innovations are disrupting the business and financial environment and creating value for various industries. Learning financial management, cloud computing for business applications and other modules in this course could help me to be ready in the virtual business world. Hence, I hope to join this course. Youth Innovation Challenge: In 2016, I represented my school to participate in the Shell STEM Youth Innovation Challenge Student Leader: In 2016, I joined the Student Leaders family. In 2017, I participated in some activities such as helping out in Sec1 Orientation and Sec2 Level Camp. I joined the EXCO Board. I am the Head of Logistics in the EXCO Board. I organised some events such as Student Leaders Investiture, Student Leader Family Day, Teacher's Day and Student Leaders Camp. I represented my school to participate in the Y.LEAD Seminar organised by River Valley High School. ICAS Mathematics: I participated in ICAS Mathematics and had gotten Merit. NUS Geography Challenge: In 2018, I participated in NUS Geography Challenge. Softball: I represented my school to participate in the Inter School Softball Tournament from 2016-2018 Fun Run (school): I got 3rd position for 2016 and 2017",0
30,C35A22W1,1,C85,"When I started using a computer at the age of ten for project and research,I started to build curiosity and interests in learning how the internet have been helping people around the world.Since then,I decided to design an application to help everyone seek for their needs.I have attended courses in Nanyang Polytechnic to get an idea about information Technology and too invented apps in Appinventor.I hope to join Information Technology and gain better knowledge and skills and create software and applications. I aspire to help people to live comfortably with the use of Information Technology. As a representative in my school team for Basketball,I participated in both 'C' Division and 'B' Division North Zone competitions.My team and I won 4th place for T-Net Club U-14 Tournament in 2016 and 2nd place for Kebun Baru Basketball Tournament in 2017.I participated in WahLei Basketball Club and competed in Milo Basketball Championship.During the competitions,I portrayed teamwork and communication skills by guiding my teammates and encouraging them when they made mistakes. I am also a member of the CCA Leader in my school and went for the Gopeng Leadership Programme Camp in 2016.I showed team spirit by contributing and supporting the team with plans.When we have activities,I suggested ideas and worked together with my group members to achieve the tasks required. I successfully completed the Work Attachment with School of Information Technology and satisfied the requirements of the Advanced Elective Module(AEM) in Mobile Devices and Applications, both at Nanyang Polytechnic in 2017.",1
31,C35A22W2,2,C35,"I have been very interested about how Information Technology have made a huge impact on businesses.From E-commerce to Cryptocurrency, they interest me in knowing more about how information technology is incorporated with business.Recently,I came across Foreign Exchange Market Trading and it sparked more interest in me to know how Information Technology has evolved to new platforms.I have taken courses for Information Technology in Nanyang Polytechnic and i would like to gain more insight about how Information technology has impacted the business industry as well as creating business ideas. As a representative in my school team for Basketball,I participated in both 'C' Division and 'B' Division North Zone competitions.My team and I won 4th place for T-Net Club U-14 Tournament in 2016 and 2nd place for Kebun Baru Basketball Tournament in 2017.I participated in WahLei Basketball Club and competed in Milo Basketball Championship.During the competitions,I portrayed teamwork and communication skills by guiding my teammates and encouraging them when they made mistakes. I am also a member of the CCA Leader in my school and went for the Gopeng Leadership Programme Camp in 2016.I showed team spirit by contributing and supporting the team with plans.When we have activities,I suggested ideas and worked together with my group members to achieve the tasks required. I successfully completed the Work Attachment with School of Information Technology and satisfied the requirements of the Advanced Elective Module(AEM) in Mobile Devices and Applications, both at Nanyang Polytechnic in 2017.",1
32,C35A22W3,3,C80,"I have been interested in developing my own application since the age of eleven. As the internet is advancing, numbers of hackers are increasing too. I would like to strengthen my knowledge on the internet and cyber security to secure applications and around the internet. I have researched on how to prevent hackers from hacking into my accounts and I want to develop a security network that can keep everyone's accounts safe. I hope to establish knowledge about cyber security through this course. I hope to make internet safer using my capabilities through the course so users will feel secured. As a representative in my school team for Basketball,I participated in both 'C' Division and 'B' Division North Zone competitions.My team and I won 4th place for T-Net Club U-14 Tournament in 2016 and 2nd place for Kebun Baru Basketball Tournament in 2017.I participated in WahLei Basketball Club and competed in Milo Basketball Championship.During the competitions,I portrayed teamwork and communication skills by guiding my teammates and encouraging them when they made mistakes. I am also a member of the CCA Leader in my school and went for the Gopeng Leadership Programme Camp in 2016.I showed team spirit by contributing and supporting the team with plans.When we have activities,I suggested ideas and worked together with my group members to achieve the tasks required. I successfully completed the Work Attachment with School of Information Technology and satisfied the requirements of the Advanced Elective Module(AEM) in Mobile Devices and Applications, both at Nanyang Polytechnic in 2017.",1
33,C35A23W2,2,C35,"I have a keen interest in how technology innovations affect business worldwide. I am keen to learn how I can use technology to help me gain business insights, so I can have a better perspective on how I can meet the customer's demand and drive the market to function at it's best. I am keen to learn about the IT processes in banking and have a keen understanding of financial systems. I feel that I have potential to excel in this course as I can handle pressure well and make wise decisions which are very crucial. In the long run, I hope to contribute to our global financial markets positively. Leadership: 'Upper Sec CCA committee Member' in basketball CCA, I am in charge of training those who cannot take part in the vigorous training during CCA hours. Obtained National Youth Achievement Award - Bronze Medal. Completed 2 modules on leadership in 2015. Sports: Attended 'Mini Referee Course' and 'NBA Trainer Clinic' for basketball in 2016. Participated in 'Sports Carnival' and 'Cross Country' from 2014-2018 and obtained 17th place for 'Cross Country' in 2016. Competitions: Represented school in National North Zone 'C' Division Basketball Competition and North Zone 2nd Tier 'C' Division Competition in 2015. Represented my football club outside of school for Teens Network Club Dual League 2015 U - 14 Football League and obtained Champion. Represented school at Basketball 'B' Boys Division 2nd Tier Northzone Competition in 2016 and 2017, obtained 2nd team placing in 2016 and 3rd team placing in 2017. Service: Clocked 38 VIA hours through various cleanup programmes and flag days.",0
34,C35A24W3,3,C35,"Equipped with IT knowledge,I would like to apply my knowledge in the world of Business and Financial Technology.Being fervent in utilising technology to simplify troubles of banking transactions,my skills will serve well for the banking and finance industry.With the IT and POA(principles of accounts) knowledge,financial informatics is the path i desire.Having a keen eye for computer analytics,technology has always stimulated my interest and aspired me to pursue this course.Therefore, I believe that this course will best succour me in setting up a career in the financial industry. As the former leader of the boys' brigade I have been put in situations where I have to plan various camps and lead the members of the boys' brigade to challenging tasks.There was once where I took charge in the major recruitment camp by making presentations to tell my fellow members what to do during the camp,leading my group in drills and maintaining order within cca.Through the hardwork of our boys' brigade members and my leadership, for the first time in yishun secondary school history our cca has attained bronze.In 2016,I represented Boys' Brigade in the Speech Day which was a major event in school.In 2017, I was promoted to staff sergeant which was one of the highest rank in the Boy's Brigade.Apart from that,I have also participated in the BB cares for four consecutive years where we go to old folks home to do charity work to improve the lives of elderlies.It was challenging because i had to monitor the situation and make sure nothing went wrong because the elderlies are fragile.",1
35,C35A25W3,3,C35,"As the captain of my school's badminton team,I learned that interacting and communicating is kep in keeping a team together to strive for excellence.I enjoy sharing ideas and working together as a team as i believe that two heads are better than one.Since young,I have been conversing with my father about his family business and this has got me interested in doing business.Often he would share with me tips on how to maximise effciency at his workplace.Hence i hope i am given the opportunity to learn more about how business works and start a business of my own in the future with what i learned. Sports(CCA) -Badminton-top 4 in east zone-2017 represented school team in east zone 2017,2018 Leadership -vice captain-2017 -captain-2018 -class chairperson-2018 Community service Tampines North PassionArts festival 2017",0
36,C35A26W3,3,C35,"I believe that being in this course will fulfill my interest in business and financial technology. I love how business are further developed into an app for customers to have better access as technology has advanced. I love how would both the business and technology work with each other to further expand to other parts of the world making it a global business. Not only that, I have attended a course on Appmaker where we were taught on developing an app. This course is perfect for me because I aspire to work as a business analyst. I'm an active member of MERIT club since 2013, I have participated actively by taking part as the school's photographer for important events such as Commendation Day and not only that, I would take charge of my CCA members if they are not well-mannered and disciplined. In IgnITE skills Challenge organised by ITE, my team and I had created a recipe of our own for a Mocktail and qualified for semi-finals. As i am very determined and hardworking towards my studies, I received Edusave Merit award and Edusave EAGLES award for being in the top 25% of the cohort. I took up a part time job during school breaks to discover different kinds of tasks in an event job such as ushering,time-keeper,registration counter, not only that, I was a very helpful assistance to my colleagues and help to brainstorm for ideas and plans for emergency situations. Through this experience, I was able to learn important things such as being punctual,respectful and working as a team with different kinds of mindset.",0
37,C35A27W3,3,C35,"I believe that Business And Financial Technology is about leading an edge in the fintech area. Fintech appears to be the backbone of the future economy and has the biggest potential growth and I am interested in this field of study as it is relevant and practical for the future economy. The skillset from learning finance can be used for many industries and career paths which can also set me on a path to further studies at universities. Many reviewed Nanyang Polytechnic as a conducive environment, having facilities for learning with the different CCAs offered to provide a holistic experience. I participated as a doubles player in the south zone badminton competition and clinched the 3rd place in 2013 and 2nd in 2014. For the year 2013 and 2014 I topped the class Consecutively and received the edusave award for achievement, good leadership and service. I have actively served as a prefect from 2016 to 2018. I was the youngest member of the Guitar Ensemble CCA to pull off a solo performance for the school in 2015 and served as an Executive Committee Member for the CCA for 2 years since 2017. In 2017, I participated in the Singapore Youth festival under the Guitar Ensemble category and attained the distinction Award. I was awarded the Gabrielite Character Award for the year 2017.",1
38,C35A28W3,3,C35,"My interest in business was sparked after watching talks by successful businessmen like Jack Ma. I started my e-business focusing on pc hardware, online hardware and musical equipment. By doing this I learnt to market my product to potential customers, reach out to them and negotiation skills. I have also worked with my schoolmates on a pc building service. I wish to join this course to learn more about marketing strategies and business management. I am hopeful that these skills will help me run my own business. I am also a believer in mentorship and hope to find one. Team leader of lower-sec class team winning silver in both badminton and floorball. Helped school with organising books after merger and helped in planning and raising awareness for new ebook system soon to be launched in school.",1
